Names	Species	Order	Family	Common Name	Origin	Status	GeoArea	BodyN	Brain	DiurnalityN	Arboreality	Shelter.safety	Diet	Group.living	Parental.care	Mating.system	Dimorphism	Litter.size	Weaning.age	HR	Population.density	FMR.Riek	Torpor	Play	"Status (Endangered, Vulnerable, Common, Abundant, Rare (or sparse), Declining, Limited)"	BodyM	BodyF	ased
Lestoros_inca	Lestoros inca	Paucituberculata	Caenolestidae	Incan shrew opossum	3	2	Am	19.38	0.79	1	1		4					4							L			0.040763674
Lutreolina_crassicaudata	Lutreolina crassicaudata	Didelphimorphia	Didelphidae	Lutrine opossum	3	1	Am	605.97	3.56	3	1	1	4	2	1	1		8	93	0.38			0		C			0.005874878
Macropus_agilis	Macropus agilis	Diprotodontia	Macropodidae	Agile wallaby	1	1	N	15000	33.3	3	2	3	1	2	1	1	1.727272727	1	326	38.2	0.18	2607.8	0	3	A	19000	11000	0.00222
Macropus_antilopinus	Macropus antilopinus	Diprotodontia	Macropodidae	Antilopine wallaby	1	2	N	27025	56.8	3	2	3	1	2	1	1	1.807792208	1	426	840	0.22	4183.1	0	3	R	34800	19250	0.002101758
Macropus_eugenii	Macropus eugenii	Diprotodontia	Macropodidae	Tammar wallaby	1	2	S	6500	23.7	1	2	3	1	2	1	1	1.363636364	1	325	100	0.75	1234.1	0	3	L	7500	5500	0.003646154
Macropus_fuliginosus	Macropus fuliginosus	Diprotodontia	Macropodidae	Western grey kangaroo	1	1	S	36500	58	3	2	3	1	2	1	1	1.607142857	1	540	70	0.41	5999.1	0	3	A	45000	28000	0.001589041
Macropus_giganteus	Macropus giganteus	Diprotodontia	Macropodidae	Eastern grey kangaroo	1	1	E	40750	69.8	3	2	3	1	2	1	1	1.762711864	1	526	160	0.45	7255.4	0	3	A	52000	29500	0.001712883
Macropus_irma	Macropus irma	Diprotodontia	Macropodidae	Western brush wallaby	1	1	W	8000	24.7	2	2	3	1	1	1	1		1	220		0.27	1808	0		C			0.0030875
Macropus_parma	Macropus parma	Diprotodontia	Macropodidae	Parma wallaby	1	2	E	4500	18.7	3	2	3	1	2	1	1	1.25	1	294			1360.1	0	3	R	5000	4000	0.004155556
Macropus_parryi	Macropus parryi	Diprotodontia	Macropodidae	Whiptail wallaby	1	1	E	13500	41.3	2	2	3	1	2	1	1	1.454545455	1	505	3	0.37	2459.2	0	3	C	16	11	0.003059259
Macropus_robustus	Macropus robustus	Diprotodontia	Macropodidae	Common wallaroo	1	1	A	25375	59	3	2	2	1	1	1	1	1.96350365	1	380	300	0.31	1689.4	0	3	A	33625	17125	0.002325123
Macropus_rufogriseus	Macropus rufogriseus	Diprotodontia	Macropodidae	Red necked wallaby	1	1	E	16850	36	3	2	3	1	2	1	1	1.407142857	1	440	32	0.36	2734.1	0	3	A	19700	14000	0.002136499
Macropus_rufus	Macropus rufus	Diprotodontia	Macropodidae	Red kangaroo	1	1	A	42000	62.4	3	2	3	1	2	1	1	2.2	1	374	774	0.11	4415.3	0	3	A	55000	25000	0.001485714
Macrotis_lagotis	Macrotis lagotis	Paramelemorphia	Thylacomyidae	Bilby	1	2	I	1200	6.57	1	2	1	3	2	1	1	1.842105263	2	109	316		645.1	0	2	V	1750	950	0.005475
Marmosa_lepida	Marmosa lepida	Didelphimorphia	Didelphidae	Little rufous mouse opossum	3	1	Am	10.093	0.5	1	1		2		1			7							C			0.049539285
Marmosa_mexicana	Marmosa mexicana	Didelphimorphia	Didelphidae	Mexican mouse opossum	3	1	Am	40.55	0.91	1	1	2		1	1			6							C			0.02244143
Marmosa_murina	Marmosa murina	Didelphimorphia	Didelphidae	Linnaeus' mouse opossum	3	1	Am	54.1	1.1	1	1	2	4	1				8.5	62				1		C			0.020332717
Marmosa_robinsoni	Marmosa robinsoni	Didelphimorphia	Didelphidae	Robinson's mouse opossum	3	1	Am	63.94	1.15	1	1		2		1	1		11	70	2.5			1		C			0.017985612
Marmosa_rubra	Marmosa rubra	Didelphimorphia	Didelphidae	Red mouse opossum	3	2	Am	61	1.16	1	1		2					9							R			0.019016393
Marmosops_impavidus	Marmosops impavidus	Didelphimorphia	Didelphidae	Tschudi's slender opossum	3	1	Am	34.95	0.91	1	1		2	1				8							C			0.026037196
Marmosops_incanus	Marmosops incanus	Didelphimorphia	Didelphidae	Gray slender mouse opossum	3	1	Am	60	0.92	1	1		4		1	1									C			0.015333333
Marmosops_noctivagus	Marmosops noctivagus	Didelphimorphia	Didelphidae	White-bellied slender mouse opossum	3	1	Am	52.54	1.11	1	1		2	1											C			0.021126761
Marmosops_parvidens	Marmosops parvidens	Didelphimorphia	Didelphidae	Delicate slender mouse opossum	3	1	Am	20.66	0.63	1	1			1				6.5							C			0.030493708
Metachirus_nudicaudatus	Metachirus nudicaudatus	Didelphimorphia	Didelphidae	Brown four eyed opossum	3	1	Am	380	2.91	1	2	2	3	1				4	100	0.83	1		0		C			0.007657895
Micoureus_demerarae	Micoureus demerarae	Didelphimorphia	Didelphidae	Woolly mouse opossum	3	1	Am	98.58	1.45	1	1	3	3	1											C			0.014708866
Micoureus_regina	Micoureus regina	Didelphimorphia	Didelphidae	Short-furred woolly mouse opossum	3	1	Am	90.88	1.4	1				1											C			0.01540493
Microperoryctes_longicauda	Microperoryctes longicauda	Paramelemorphia	Peramelidae	Striped bandicoot	2	1	NG	538	3.81	1																		0.007081784
Monodelphis_adusta	Monodelphis adusta	Didelphimorphia	Didelphidae	Sepia short-tailed opossum	3	1	Am	19.15	0.47	1	2		4	1											C			0.024543081
Monodelphis_americana	Monodelphis americana	Didelphimorphia	Didelphidae	Northern three-striped short-tailed opossum	3	1	Am	34.1	0.57	3	2	2	3	1						1					C			0.016715543
Monodelphis_brevicaudata	Monodelphis brevicaudata	Didelphimorphia	Didelphidae	Northern red sided opossum	3	1	Am	84	0.9	1	1		3	1				7			1		1		C			0.010714286
Monodelphis_dimidiata	Monodelphis dimidiata	Didelphimorphia	Didelphidae	Yellow-sided opossum	3	1	Am	36.57	0.6	1			4	2						0.5					C			0.016406891
Monodelphis_domestica	Monodelphis domestica	Didelphimorphia	Didelphidae	Gray short-tailed opossum	3	1	Am	88.88	0.97	1	1	3	4	1	1	1		9	210	0.2			0	3	C			0.010913591
Monodelphis_emiliae	Monodelphis emiliae	Didelphimorphia	Didelphidae	Emilia's Short-tailed opossum	3	1	Am	14.29	0.4	2	2			1											C			0.027991603
Monodelphis_osgoodi	Monodelphis osgoodi	Didelphimorphia	Didelphidae	Osgood's short-tailed opossum	3	2	Am	15.04	0.31	1	2		3	1											L			0.020611702
Monodelphis_sorex	Monodelphis sorex	Didelphimorphia	Didelphidae	Shrewish short-tailed opossum	3	1	Am	21.18	0.42	2	2		3	1				19							C			0.019830028
Murexchinus_melanurus	Murexchinus melanurus	Dasyuromorphia	Dasyuridae	Black-tailed antechinus	2	1	NG	31	0.65	1	1		4					4	100									0.020967742
Murexia_longicaudata	Murexia longicaudata	Dasyuromorphia	Dasyuridae	Short-furred dasyure	2	1	NG	100	1.68	3	1	2	4					4										0.0168
Myoictis_melas	Myoictis melas	Dasyuromorphia	Dasyuridae	Three-striped dasyure	2	1	NG	91	2.05	1			4															0.022527473
Myrmecobius_fasciatus	Myrmecobius fasciatus	Dasyuromorphia	Myrmecobiidae	Numbat	1	2	N	537.5	4.25	2	2	2	4	1	1	2	1.248953975	4	270	50	0.05	252.5	1	3	V	597	478	0.007906977
Neophascogale_lorentzii	Neophascogale lorentzi	Dasyuromorphia	Dasyuridae	Speckled dasyure	2	1	NG	212	2.45	3	2		3					4										0.011556604
Ningaui_ridei	Ningaui ridei	Dasyuromorphia	Dasyuridae	Wongai ningaui	1	1	I	8.5	0.24	1	2	1	4	1	1	1		6.2	91			36.4	1		C			0.028235294
Ningaui_timealeyi	Ningaui timealeyi	Dasyuromorphia	Dasyuridae	Southern ningaui	1	1	W	6	0.26	1	2	3	4	1	1	1	1.190909091	6.3	95			28.5			C	6.55	5.5	0.043333333
Notoryctes_typhlops	Notoryctes typhlops	Notoryctemorphia	Notoryctidae	Kakarratul (marsupial mole)	1	2	I	55	0.78	3	2	1	4	1	1	1		1				84.6	1		E			0.014181818
Onychogalea_fraenata	Onychogalea fraenata	Diprotodontia	Macropodidae	Brindled nailtail wallaby	1	2	E	5750	14.7	1	2	3	1	1	1	1	1.3	1	165	90	0.2	1507.2			L	6500	5000	0.002556522
Onychogalea_unguifera	Onychogalea unguifera	Diprotodontia	Macropodidae	Northern nailtail wallaby	1	1	N	6650	16.7	1	2	3	1	1	1	1	1.293103448	1				1524.5			C	7500	5800	0.002511278
Paramurexia_rothschildi	Paramurexia rothschildi	Dasyuromorphia	Dasyuridae	Broad-striped dasyure	2	2	NG	67	1.05	2	2	2	4															0.015671642
Parantechinus_apicalis	Parantechinus apicalis	Dasyuromorphia	Dasyuridae	Dibbler	1	2	W	74.5	1.2	1	2	2	4	1	1	1	1.637168142	7.1	105	6	6	142.6			E	92.5	56.5	0.016107383
Perameles_bougainville	Perameles bougainville	Paramelemorphia	Peramelidae	Western barred bandicoot	1	2	W	215	3.21	3	2	2	2	1	1	1	0.972477064	1.9		14.2	0.34	218.6			L	212	218	0.014930233
Perameles_gunnii	Perameles gunnii	Paramelemorphia	Peramelidae	Eastern barred bandicoot	1	2	T	750	4.5	1	2	2	2	1	1	1		2.4	58.5	4.29	6.65	508.5	0	1	L			0.006
Perameles_nasuta	Perameles nasuta	Paramelemorphia	Peramelidae	Long nosed bandicoot	1	1	E	925	4.96	1	2	2	3	1	1	1		2.7	66	4.4	0.9	537.8	0		C			0.005362162
Peroryctes_raffrayana	Peroryctes raffrayana	Paramelemorphia	Peroryctidae	Raffray's bandicoot	2	1	NG	830	6.33	3		2	4	1	1	1		3	60									0.007626506
Petauroides_volans	Petauroides volans	Diprotodontia	Pseudocheiridae	Greater glider	1	1	E	1300	4.69	1	1	1	1	1	2	2		1	250	2.6	1.18	527.6	0	1	A			0.003607692
Petaurus_australis	Petaurus australis	Diprotodontia	Petauridae	Yellow bellied glider	1	2	E	557.5	5.71	1	1	1	3	2	2	2	1.144230769	1	145	60	0.12	428.8		3	V	595	520	0.010242152
